milis,ecg
1436875460080,505
1436875460084,504
1436875460088,504
1436875460092,504
1436875460096,1023
1436875460100,503
1436875460104,503
1436875460108,503
1436875460112,1023
1436875460116,503
1436875460120,503
1436875460124,503
1436875460128,1023
1436875460132,503
1436875460136,503
1436875460140,503
1436875460144,504
1436875460148,504
1436875460152,504
1436875460156,504
1436875460160,504
1436875460164,505
1436875460168,505
1436875460172,505
1436875460176,505
1436875460180,505
1436875460184,505
1436875460188,505
1436875460192,505
1436875460196,505
1436875460200,505
1436875460204,505
1436875460208,505
1436875460212,505
1436875460216,505
1436875460220,505
1436875460224,505
1436875460228,505
1436875460232,505
1436875460236,505
1436875460240,505
1436875460244,505
1436875460248,505
1436875460252,505
1436875460256,505
1436875460260,505
1436875460264,505
1436875460268,505
1436875460272,505
1436875460276,505
1436875460280,505
1436875460284,505
1436875460288,505
1436875460292,505
1436875460296,505
1436875460300,1022
1436875460304,506
1436875460308,506
1436875460312,505
1436875460316,505
1436875460320,505
1436875460324,504
1436875460328,505
1436875460332,505
1436875460336,505
1436875460340,505
1436875460344,505
1436875460348,505
1436875460352,505
1436875460356,504
1436875460360,504
1436875460364,504
1436875460368,504
1436875460372,504
1436875460376,504
1436875460380,504
1436875460384,504
1436875460388,504
1436875460392,504
1436875460396,504
1436875460400,504
1436875460404,504
1436875460408,504
1436875460412,504
1436875460416,504
1436875460420,504
1436875460424,505
1436875460428,504
1436875460432,504
1436875460436,503
1436875460440,503
1436875460444,503
1436875460448,503
1436875460452,503
1436875460456,1023
1436875460460,503
1436875460464,502
1436875460468,502
1436875460472,1022
1436875460476,502
1436875460480,502
1436875460484,502
1436875460488,1022
1436875460492,502
1436875460496,502
1436875460500,502
1436875460504,1022
1436875460508,502
1436875460512,502
1436875460516,503
1436875460520,1023
1436875460524,503
1436875460528,503
1436875460532,503
1436875460536,1023
1436875460540,503
1436875460544,503
1436875460548,504
1436875460552,504
1436875460556,504
1436875460560,504
1436875460564,503
1436875460568,1023
1436875460572,503
1436875460576,503
1436875460580,503
1436875460584,1023
1436875460588,503
1436875460592,503
1436875460596,504
1436875460600,505
1436875460604,505
1436875460608,505
1436875460612,504
1436875460616,501
1436875460620,497
1436875460624,492
1436875460628,487
1436875460632,1022
1436875460636,490
1436875460640,500
1436875460644,515
1436875460648,1023
1436875460652,557
1436875460656,579
1436875460660,596
1436875460664,1022
1436875460668,595
1436875460672,576
1436875460676,549
1436875460680,524
1436875460684,506
1436875460688,498
1436875460692,498
1436875460696,500
1436875460700,502
1436875460704,502
1436875460708,501
1436875460712,501
1436875460716,501
1436875460720,501
1436875460724,501
1436875460728,501
1436875460732,501
1436875460736,501
1436875460740,501
1436875460744,501
1436875460748,502
1436875460752,502
1436875460756,1022
1436875460760,502
1436875460764,502
1436875460768,502
1436875460772,1022
1436875460776,503
1436875460780,503
1436875460784,503
1436875460788,1023
1436875460792,503
1436875460796,504
1436875460800,504
1436875460804,504
1436875460808,504
1436875460812,504
1436875460816,504
1436875460820,504
1436875460824,505
1436875460828,506
1436875460832,506
1436875460836,1022
1436875460840,506
1436875460844,506
1436875460848,507
1436875460852,1023
1436875460856,507
1436875460860,507
1436875460864,507
1436875460868,508
1436875460872,508
1436875460876,508
1436875460880,509
1436875460884,509
1436875460888,509
1436875460892,509
1436875460896,509
1436875460900,508
1436875460904,508
1436875460908,507
1436875460912,506
1436875460916,1022
1436875460920,505
1436875460924,504
1436875460928,504
1436875460932,1023
1436875460936,502
1436875460940,502
1436875460944,502
1436875460948,502
1436875460952,502
1436875460956,502
1436875460960,1022
1436875460964,502
1436875460968,502
1436875460972,502
1436875460976,1022
1436875460980,502
1436875460984,502
1436875460988,503
1436875460992,1023
1436875460996,503
1436875461000,503
1436875461004,503
1436875461008,1023
1436875461012,503
1436875461016,503
1436875461020,503
1436875461024,1023
1436875461028,503
1436875461032,503
1436875461036,503
1436875461040,1023
1436875461044,503
1436875461048,503
1436875461052,504
1436875461056,504
1436875461060,503
1436875461064,503
1436875461068,503
1436875461072,1023
1436875461076,503
1436875461080,503
1436875461084,503
1436875461088,1023
1436875461092,503
1436875461096,503
1436875461100,503
1436875461104,1023
1436875461108,503
1436875461112,503
1436875461116,503
1436875461120,1023
1436875461124,503
1436875461128,503
1436875461132,503
1436875461136,1023
1436875461140,503
1436875461144,503
1436875461148,502
1436875461152,1022
1436875461156,502
1436875461160,503
1436875461164,503
1436875461168,1023
1436875461172,503
1436875461176,503
1436875461180,503
1436875461184,1022
1436875461188,502
1436875461192,502
1436875461196,502
1436875461200,502
1436875461204,502
1436875461208,502
1436875461212,1023
1436875461216,503
1436875461220,503
1436875461224,503
1436875461228,1023
1436875461232,503
1436875461236,503
1436875461240,503
1436875461244,1023
1436875461248,503
1436875461252,503
1436875461256,502
1436875461260,1022
1436875461264,502
1436875461268,502
1436875461272,502
1436875461276,1022
1436875461280,503
1436875461284,502
1436875461288,502
1436875461292,1022
1436875461296,503
1436875461300,503
1436875461304,503
1436875461308,504
1436875461312,504
1436875461316,504
1436875461320,504
1436875461324,504
1436875461328,504
1436875461332,504
1436875461336,504
1436875461340,1023
1436875461344,503
1436875461348,503
1436875461352,503
1436875461356,1023
1436875461360,503
1436875461364,503
1436875461368,503
1436875461372,1023
1436875461376,503
1436875461380,503
1436875461384,503
1436875461388,1023
1436875461392,503
1436875461396,504
1436875461400,504
1436875461404,504
1436875461408,502
1436875461412,498
1436875461416,493
1436875461420,1023
1436875461424,484
1436875461428,484
1436875461432,491
1436875461436,504
1436875461440,522
1436875461444,544
1436875461448,568
1436875461452,588
1436875461456,601
1436875461460,601
1436875461464,1022
1436875461468,561
1436875461472,533
1436875461476,510
1436875461480,497
1436875461484,494
1436875461488,495
1436875461492,498
1436875461496,1023
1436875461500,499
1436875461504,499
1436875461508,499
